episode_id,published_at,observation_hours,public_views,engaged_views,stayed_to_watch_pct,avg_percentage_viewed_pct,likes,comments,subscribers_gained
TK-001,2026-08-25T12:00:00+09:00,24,0,0,0,0,0,0,0
TK-001,2026-08-25T12:00:00+09:00,72,0,0,0,0,0,0,0
